"o1","o2","e1","e2","chisq","word","name"
8,6,2.3931910154657,11.6068089845343,11.3910333562947,"alright yeah","KRAMER"
4,1,0.854711076952034,4.14528892304797,9.50234421943693,"always put","KRAMER"
4,2,1.02565329234244,4.97434670765756,7.24312927984862,"armoire yeah","KRAMER"
4,2,1.02565329234244,4.97434670765756,7.24312927984862,"around im","KRAMER"
4,1,0.854711076952034,4.14528892304797,9.50234421943693,"aw really","KRAMER"
5,4,1.53847993851366,7.46152006148634,6.79871201233248,"bad news","KRAMER"
5,1,1.02565329234244,4.97434670765756,12.632493350986,"better believe","KRAMER"
2,44,7.86334190795872,38.1366580920413,-7.10894399614836,"big deal","KRAMER"
5,2,1.19659550773285,5.80340449226715,10.0383844617556,"bob sacamano","KRAMER"
4,2,1.02565329234244,4.97434670765756,7.24312927984862,"buddy oh","KRAMER"
5,1,1.02565329234244,4.97434670765756,12.632493350986,"buddy thats","KRAMER"
4,1,0.854711076952034,4.14528892304797,9.50234421943693,"business together","KRAMER"
4,2,1.02565329234244,4.97434670765756,7.24312927984862,"can send","KRAMER"
1,43,7.5214574771779,36.4785425228221,-10.1094078838074,"can tell","KRAMER"
4,158,27.6926388932459,134.307361106754,-35.8596837621142,"cant believe","KRAMER"
10,10,3.41884430780814,16.5811556921919,11.3520152489059,"cant eat","KRAMER"
4,1,0.854711076952034,4.14528892304797,9.50234421943693,"cash im","KRAMER"
14,26,6.83768861561627,33.1623113843837,7.41250247186538,"coffee table","KRAMER"
3,53,9.57276406186278,46.4272359381372,-7.07314017596607,"come come","KRAMER"
19,14,5.64109310788343,27.3589068921166,27.3861478534036,"come jerry","KRAMER"
8,8,2.73507544624651,13.2649245537535,9.08161219912473,"cosmo kramer","KRAMER"
4,2,1.02565329234244,4.97434670765756,7.24312927984862,"deal well","KRAMER"
6,5,1.88036436929448,9.11963563070552,7.91360739172819,"death blow","KRAMER"
2,47,8.37616855412994,40.6238314458701,-7.9755425679449,"didnt get","KRAMER"
7,85,15.7266838159174,76.2733161840826,-7.08349511928717,"didnt know","KRAMER"
5,2,1.19659550773285,5.80340449226715,10.0383844617556,"done yeah","KRAMER"
6,81,14.8719727389654,72.1280272610346,-7.90041886712354,"dont get","KRAMER"
55,656,121.539915142579,589.460084857421,-53.1033114672832,"dont know","KRAMER"
1,42,7.3505152617875,35.6494847382125,-9.78099286055696,"dont need","KRAMER"
6,82,15.0429149543558,72.9570850456442,-8.13327650382677,"dont see","KRAMER"
19,241,44.4449760015058,215.555023998494,-21.4890172122218,"dont think","KRAMER"
4,1,0.854711076952034,4.14528892304797,9.50234421943693,"em alright","KRAMER"
4,1,0.854711076952034,4.14528892304797,9.50234421943693,"end week","KRAMER"
5,1,1.02565329234244,4.97434670765756,12.632493350986,"friend bob","KRAMER"
2,47,8.37616855412994,40.6238314458701,-7.9755425679449,"george costanza","KRAMER"
6,5,1.88036436929448,9.11963563070552,7.91360739172819,"get em","KRAMER"
